TIME,GEO,UNIT,INDIC_IL,SEX,AGE,VALUE
2000,Belgium,Euro,Mean equivalised net income,Total,Total,17282
2001,Belgium,Euro,Mean equivalised net income,Total,Total,17803
2003,Belgium,Euro,Mean equivalised net income,Total,Total,17163
2004,Belgium,Euro,Mean equivalised net income,Total,Total,16941
2005,Belgium,Euro,Mean equivalised net income,Total,Total,18542
2006,Belgium,Euro,Mean equivalised net income,Total,Total,19011
2007,Belgium,Euro,Mean equivalised net income,Total,Total,19143
2008,Belgium,Euro,Mean equivalised net income,Total,Total,19986
2009,Belgium,Euro,Mean equivalised net income,Total,Total,21002
2010,Belgium,Euro,Mean equivalised net income,Total,Total,21353
2011,Belgium,Euro,Mean equivalised net income,Total,Total,21628
2012,Belgium,Euro,Mean equivalised net income,Total,Total,21897
2013,Belgium,Euro,Mean equivalised net income,Total,Total,23279
2014,Belgium,Euro,Mean equivalised net income,Total,Total,23429
2015,Belgium,Euro,Mean equivalised net income,Total,Total,23673
2016,Belgium,Euro,Mean equivalised net income,Total,Total,24264
2017,Belgium,Euro,Mean equivalised net income,Total,Total,24400
2018,Belgium,Euro,Mean equivalised net income,Total,Total,25196
2019,Belgium,Euro,Mean equivalised net income,Total,Total,26275
2020,Belgium,Euro,Mean equivalised net income,Total,Total,27641
2021,Belgium,Euro,Mean equivalised net income,Total,Total,27718
2022,Belgium,Euro,Mean equivalised net income,Total,Total,29471
2006,Bulgaria,Euro,Mean equivalised net income,Total,Total,1582
2007,Bulgaria,Euro,Mean equivalised net income,Total,Total,1721
2008,Bulgaria,Euro,Mean equivalised net income,Total,Total,2662
2009,Bulgaria,Euro,Mean equivalised net income,Total,Total,3278
2010,Bulgaria,Euro,Mean equivalised net income,Total,Total,3498
2011,Bulgaria,Euro,Mean equivalised net income,Total,Total,3429
2012,Bulgaria,Euro,Mean equivalised net income,Total,Total,3276
2013,Bulgaria,Euro,Mean equivalised net income,Total,Total,3509
2014,Bulgaria,Euro,Mean equivalised net income,Total,Total,3907
2015,Bulgaria,Euro,Mean equivalised net income,Total,Total,4093
2016,Bulgaria,Euro,Mean equivalised net income,Total,Total,3857
2017,Bulgaria,Euro,Mean equivalised net income,Total,Total,4598
2018,Bulgaria,Euro,Mean equivalised net income,Total,Total,4644
2019,Bulgaria,Euro,Mean equivalised net income,Total,Total,5551
2020,Bulgaria,Euro,Mean equivalised net income,Total,Total,5927
2021,Bulgaria,Euro,Mean equivalised net income,Total,Total,6730
2022,Bulgaria,Euro,Mean equivalised net income,Total,Total,6848
2005,Czechia,Euro,Mean equivalised net income,Total,Total,4838
2006,Czechia,Euro,Mean equivalised net income,Total,Total,5410
2007,Czechia,Euro,Mean equivalised net income,Total,Total,6148
2008,Czechia,Euro,Mean equivalised net income,Total,Total,6810
2009,Czechia,Euro,Mean equivalised net income,Total,Total,8262
2010,Czechia,Euro,Mean equivalised net income,Total,Total,7981
2011,Czechia,Euro,Mean equivalised net income,Total,Total,8440
2012,Czechia,Euro,Mean equivalised net income,Total,Total,8765
2013,Czechia,Euro,Mean equivalised net income,Total,Total,8695
2014,Czechia,Euro,Mean equivalised net income,Total,Total,8600
2015,Czechia,Euro,Mean equivalised net income,Total,Total,8345
2016,Czechia,Euro,Mean equivalised net income,Total,Total,8808
2017,Czechia,Euro,Mean equivalised net income,Total,Total,9282
2018,Czechia,Euro,Mean equivalised net income,Total,Total,10098
2019,Czechia,Euro,Mean equivalised net income,Total,Total,11068
2020,Czechia,Euro,Mean equivalised net income,Total,Total,11885
2021,Czechia,Euro,Mean equivalised net income,Total,Total,12040
2003,Denmark,Euro,Mean equivalised net income,Total,Total,22515
2004,Denmark,Euro,Mean equivalised net income,Total,Total,22754
2005,Denmark,Euro,Mean equivalised net income,Total,Total,23294
2006,Denmark,Euro,Mean equivalised net income,Total,Total,24013
2007,Denmark,Euro,Mean equivalised net income,Total,Total,25113
2008,Denmark,Euro,Mean equivalised net income,Total,Total,26030
2009,Denmark,Euro,Mean equivalised net income,Total,Total,25897
2010,Denmark,Euro,Mean equivalised net income,Total,Total,26915
2011,Denmark,Euro,Mean equivalised net income,Total,Total,29347
2012,Denmark,Euro,Mean equivalised net income,Total,Total,29690
2013,Denmark,Euro,Mean equivalised net income,Total,Total,30082
2014,Denmark,Euro,Mean equivalised net income,Total,Total,31108
2015,Denmark,Euro,Mean equivalised net income,Total,Total,31518
2016,Denmark,Euro,Mean equivalised net income,Total,Total,32141
2017,Denmark,Euro,Mean equivalised net income,Total,Total,32792
2018,Denmark,Euro,Mean equivalised net income,Total,Total,33759
2019,Denmark,Euro,Mean equivalised net income,Total,Total,34332
2020,Denmark,Euro,Mean equivalised net income,Total,Total,34346
2021,Denmark,Euro,Mean equivalised net income,Total,Total,35744
2000,Germany (until 1990 former territory of the FRG),Euro,Mean equivalised net income,Total,Total,17167
2001,Germany (until 1990 former territory of the FRG),Euro,Mean equivalised net income,Total,Total,17742
2005,Germany (until 1990 former territory of the FRG),Euro,Mean equivalised net income,Total,Total,18214
2006,Germany (until 1990 former territory of the FRG),Euro,Mean equivalised net income,Total,Total,17283
2007,Germany (until 1990 former territory of the FRG),Euro,Mean equivalised net income,Total,Total,20270
2008,Germany (until 1990 former territory of the FRG),Euro,Mean equivalised net income,Total,Total,21086
2009,Germany (until 1990 former territory of the FRG),Euro,Mean equivalised net income,Total,Total,21223
2010,Germany (until 1990 former territory of the FRG),Euro,Mean equivalised net income,Total,Total,21470
2011,Germany (until 1990 former territory of the FRG),Euro,Mean equivalised net income,Total,Total,21549
2012,Germany (until 1990 former territory of the FRG),Euro,Mean equivalised net income,Total,Total,22022
2013,Germany (until 1990 former territory of the FRG),Euro,Mean equivalised net income,Total,Total,22471
2014,Germany (until 1990 former territory of the FRG),Euro,Mean equivalised net income,Total,Total,22537
2015,Germany (until 1990 former territory of the FRG),Euro,Mean equivalised net income,Total,Total,23499
2016,Germany (until 1990 former territory of the FRG),Euro,Mean equivalised net income,Total,Total,24020
2017,Germany (until 1990 former territory of the FRG),Euro,Mean equivalised net income,Total,Total,24780
2018,Germany (until 1990 former territory of the FRG),Euro,Mean equivalised net income,Total,Total,25882
2019,Germany (until 1990 former territory of the FRG),Euro,Mean equivalised net income,Total,Total,26105
2020,Germany (until 1990 former territory of the FRG),Euro,Mean equivalised net income,Total,Total,29896
2021,Germany (until 1990 former territory of the FRG),Euro,Mean equivalised net income,Total,Total,29106
2004,Estonia,Euro,Mean equivalised net income,Total,Total,3245
2005,Estonia,Euro,Mean equivalised net income,Total,Total,3630
2006,Estonia,Euro,Mean equivalised net income,Total,Total,4355
2007,Estonia,Euro,Mean equivalised net income,Total,Total,5304
2008,Estonia,Euro,Mean equivalised net income,Total,Total,6333
2009,Estonia,Euro,Mean equivalised net income,Total,Total,7207
2010,Estonia,Euro,Mean equivalised net income,Total,Total,6782
2011,Estonia,Euro,Mean equivalised net income,Total,Total,6570
2012,Estonia,Euro,Mean equivalised net income,Total,Total,7119
2013,Estonia,Euro,Mean equivalised net income,Total,Total,7846
2014,Estonia,Euro,Mean equivalised net income,Total,Total,8820
2015,Estonia,Euro,Mean equivalised net income,Total,Total,9490
2016,Estonia,Euro,Mean equivalised net income,Total,Total,10102
2017,Estonia,Euro,Mean equivalised net income,Total,Total,10698
2018,Estonia,Euro,Mean equivalised net income,Total,Total,11746
2019,Estonia,Euro,Mean equivalised net income,Total,Total,12780
2020,Estonia,Euro,Mean equivalised net income,Total,Total,13705
2021,Estonia,Euro,Mean equivalised net income,Total,Total,14218
2000,Ireland,Euro,Mean equivalised net income,Total,Total,13656
2001,Ireland,Euro,Mean equivalised net income,Total,Total,15487
2003,Ireland,Euro,Mean equivalised net income,Total,Total,19354
2004,Ireland,Euro,Mean equivalised net income,Total,Total,20779
2005,Ireland,Euro,Mean equivalised net income,Total,Total,21820
2006,Ireland,Euro,Mean equivalised net income,Total,Total,23441
2007,Ireland,Euro,Mean equivalised net income,Total,Total,25988
2008,Ireland,Euro,Mean equivalised net income,Total,Total,26809
2009,Ireland,Euro,Mean equivalised net income,Total,Total,25635
2010,Ireland,Euro,Mean equivalised net income,Total,Total,23965
2011,Ireland,Euro,Mean equivalised net income,Total,Total,22886
2012,Ireland,Euro,Mean equivalised net income,Total,Total,22781
2013,Ireland,Euro,Mean equivalised net income,Total,Total,23392
2014,Ireland,Euro,Mean equivalised net income,Total,Total,23573
2015,Ireland,Euro,Mean equivalised net income,Total,Total,24766
2016,Ireland,Euro,Mean equivalised net income,Total,Total,25586
2017,Ireland,Euro,Mean equivalised net income,Total,Total,27006
2018,Ireland,Euro,Mean equivalised net income,Total,Total,28630
2019,Ireland,Euro,Mean equivalised net income,Total,Total,29684
2020,Ireland,Euro,Mean equivalised net income,Total,Total,30709
2021,Ireland,Euro,Mean equivalised net income,Total,Total,31832
2000,Greece,Euro,Mean equivalised net income,Total,Total,8119
2001,Greece,Euro,Mean equivalised net income,Total,Total,8262
2003,Greece,Euro,Mean equivalised net income,Total,Total,9675
2004,Greece,Euro,Mean equivalised net income,Total,Total,10199
2005,Greece,Euro,Mean equivalised net income,Total,Total,11149
2006,Greece,Euro,Mean equivalised net income,Total,Total,11666
2007,Greece,Euro,Mean equivalised net income,Total,Total,12130
2008,Greece,Euro,Mean equivalised net income,Total,Total,12766
2009,Greece,Euro,Mean equivalised net income,Total,Total,13505
2010,Greece,Euro,Mean equivalised net income,Total,Total,13974
2011,Greece,Euro,Mean equivalised net income,Total,Total,12626
2012,Greece,Euro,Mean equivalised net income,Total,Total,10676
2013,Greece,Euro,Mean equivalised net income,Total,Total,9303
2014,Greece,Euro,Mean equivalised net income,Total,Total,8879
2015,Greece,Euro,Mean equivalised net income,Total,Total,8683
2016,Greece,Euro,Mean equivalised net income,Total,Total,8673
2017,Greece,Euro,Mean equivalised net income,Total,Total,8800
2018,Greece,Euro,Mean equivalised net income,Total,Total,9034
2019,Greece,Euro,Mean equivalised net income,Total,Total,9382
2020,Greece,Euro,Mean equivalised net income,Total,Total,10041
2021,Greece,Euro,Mean equivalised net income,Total,Total,9952
2000,Spain,Euro,Mean equivalised net income,Total,Total,9762
2001,Spain,Euro,Mean equivalised net income,Total,Total,10602
2004,Spain,Euro,Mean equivalised net income,Total,Total,11621
2005,Spain,Euro,Mean equivalised net income,Total,Total,12008
2006,Spain,Euro,Mean equivalised net income,Total,Total,12643
2007,Spain,Euro,Mean equivalised net income,Total,Total,13266
2008,Spain,Euro,Mean equivalised net income,Total,Total,16190
2009,Spain,Euro,Mean equivalised net income,Total,Total,17042
2010,Spain,Euro,Mean equivalised net income,Total,Total,16922
2011,Spain,Euro,Mean equivalised net income,Total,Total,16280
2012,Spain,Euro,Mean equivalised net income,Total,Total,16119
2013,Spain,Euro,Mean equivalised net income,Total,Total,15635
2014,Spain,Euro,Mean equivalised net income,Total,Total,15405
2015,Spain,Euro,Mean equivalised net income,Total,Total,15408
2016,Spain,Euro,Mean equivalised net income,Total,Total,15842
2017,Spain,Euro,Mean equivalised net income,Total,Total,16390
2018,Spain,Euro,Mean equivalised net income,Total,Total,16937
2019,Spain,Euro,Mean equivalised net income,Total,Total,17287
2020,Spain,Euro,Mean equivalised net income,Total,Total,18116
2021,Spain,Euro,Mean equivalised net income,Total,Total,18103
2000,France,Euro,Mean equivalised net income,Total,Total,15969
2001,France,Euro,Mean equivalised net income,Total,Total,16496
2004,France,Euro,Mean equivalised net income,Total,Total,17487
2005,France,Euro,Mean equivalised net income,Total,Total,18207
2006,France,Euro,Mean equivalised net income,Total,Total,18322
2007,France,Euro,Mean equivalised net income,Total,Total,18383
2008,France,Euro,Mean equivalised net income,Total,Total,22462
2009,France,Euro,Mean equivalised net income,Total,Total,23191
2010,France,Euro,Mean equivalised net income,Total,Total,23421
2011,France,Euro,Mean equivalised net income,Total,Total,23882
2012,France,Euro,Mean equivalised net income,Total,Total,24499
2013,France,Euro,Mean equivalised net income,Total,Total,24713
2014,France,Euro,Mean equivalised net income,Total,Total,24612
2015,France,Euro,Mean equivalised net income,Total,Total,24982
2016,France,Euro,Mean equivalised net income,Total,Total,25278
2017,France,Euro,Mean equivalised net income,Total,Total,25286
2018,France,Euro,Mean equivalised net income,Total,Total,25379
2019,France,Euro,Mean equivalised net income,Total,Total,26210
2020,France,Euro,Mean equivalised net income,Total,Total,25382
2021,France,Euro,Mean equivalised net income,Total,Total,26075
2010,Croatia,Euro,Mean equivalised net income,Total,Total,6622
2011,Croatia,Euro,Mean equivalised net income,Total,Total,6217
2012,Croatia,Euro,Mean equivalised net income,Total,Total,5988
2013,Croatia,Euro,Mean equivalised net income,Total,Total,5817
2014,Croatia,Euro,Mean equivalised net income,Total,Total,5799
2015,Croatia,Euro,Mean equivalised net income,Total,Total,6070
2016,Croatia,Euro,Mean equivalised net income,Total,Total,6337
2017,Croatia,Euro,Mean equivalised net income,Total,Total,6851
2018,Croatia,Euro,Mean equivalised net income,Total,Total,7371
2019,Croatia,Euro,Mean equivalised net income,Total,Total,8089
2020,Croatia,Euro,Mean equivalised net income,Total,Total,8643
2021,Croatia,Euro,Mean equivalised net income,Total,Total,8860
2000,Italy,Euro,Mean equivalised net income,Total,Total,10952
2001,Italy,Euro,Mean equivalised net income,Total,Total,11320
2004,Italy,Euro,Mean equivalised net income,Total,Total,15897
2005,Italy,Euro,Mean equivalised net income,Total,Total,16572
2006,Italy,Euro,Mean equivalised net income,Total,Total,16725
2007,Italy,Euro,Mean equivalised net income,Total,Total,17314
2008,Italy,Euro,Mean equivalised net income,Total,Total,17711
2009,Italy,Euro,Mean equivalised net income,Total,Total,17983
2010,Italy,Euro,Mean equivalised net income,Total,Total,18221
2011,Italy,Euro,Mean equivalised net income,Total,Total,18149
2012,Italy,Euro,Mean equivalised net income,Total,Total,18267
2013,Italy,Euro,Mean equivalised net income,Total,Total,17932
2014,Italy,Euro,Mean equivalised net income,Total,Total,17914
2015,Italy,Euro,Mean equivalised net income,Total,Total,17890
2016,Italy,Euro,Mean equivalised net income,Total,Total,18286
2017,Italy,Euro,Mean equivalised net income,Total,Total,18714
2018,Italy,Euro,Mean equivalised net income,Total,Total,19208
